game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
83,20.0,0,0,0,0,0,0,1
83,20.0,1,0,0,0,25.0,1,1
83,25.0,1,0,0,0,24.0,0,1
83,22.0,1,0,1,1,34.0,2,-3
84,28.0,1,0,0,0,21.0,1,1
84,30.0,2,0,1,1,43.0,1,-3
84,10.0,0,0,0,0,15.0,1,1
84,17.0,0,0,0,0,4.0,0,1
85,19.0,0,0,0,0,11.0,0,-1
85,26.0,0,0,0,0,26.0,0,-1
85,15.0,0,0,0,0,6.0,0,-1
85,28.0,3,0,1,1,43.0,3,3
86,25.0,1,1,0,0,5.0,0,2
86,13.0,0,1,0,0,10.0,1,2
86,26.0,1,1,0,0,35.0,1,2
86,20.0,0,1,1,1,38.0,1,-6
87,22.0,1,1,0,0,10.0,1,-1
87,19.0,1,1,1,1,46.0,2,3
87,23.0,0,1,0,0,10.0,0,-1
87,20.0,0,1,0,0,19.0,0,-1
88,18.0,0,1,0,0,4.0,0,1
88,16.0,0,1,0,0,15.0,1,1
88,29.0,1,1,1,1,48.0,1,-3
88,20.0,1,1,0,0,21.0,1,1
89,19.0,0,0,0,0,6.0,0,4
89,24.0,1,0,0,0,25.0,1,4
89,18.0,1,0,1,1,24.0,0,-12
89,23.0,1,0,0,0,33.0,2,4
90,18.0,1,1,0,0,16.0,1,4
90,20.0,1,1,1,1,19.0,1,-12
90,25.0,0,1,0,0,39.0,1,4
90,18.0,0,1,0,0,12.0,0,4
91,22.0,0,1,0,0,20.0,0,-2
91,18.0,1,1,1,1,53.0,2,6
91,19.0,1,1,0,0,6.0,1,-2
91,25.0,0,1,0,0,9.0,0,-2
92,14.0,0,1,0,0,10.0,0,-1
92,17.0,0,1,0,0,20.0,0,-1
92,24.0,1,1,0,0,11.0,1,-1
92,27.0,1,1,1,1,41.0,2,3
93,20.0,1,0,0,0,13.0,1,2
93,24.0,1,0,1,1,39.0,1,-6
93,19.0,0,0,0,0,8.0,0,2
93,18.0,1,0,0,0,24.0,1,2
94,17.0,1,0,0,0,13.0,1,2
94,26.0,1,0,1,1,39.0,1,-6
94,16.0,0,0,0,0,14.0,1,2
94,24.0,1,0,0,0,19.0,0,2
95,14.0,0,0,1,1,12.0,0,-15
95,11.0,0,0,0,0,0,0,5
95,30.0,2,0,0,0,33.0,3,5
95,30.0,1,0,0,0,43.0,0,5
96,16.0,1,0,0,0,13.0,1,-1
96,28.0,1,0,1,1,51.0,1,3
96,18.0,0,0,0,0,10.0,0,-1
96,24.0,1,0,0,0,10.0,1,-1
97,33.0,1,0,0,0,49.0,1,5
97,17.0,1,0,0,0,15.0,0,5
97,14.0,0,0,0,0,10.0,1,5
97,19.0,1,0,1,1,10.0,1,-15
98,22.0,1,0,1,1,58.0,0,-3
98,17.0,0,0,0,0,2.0,0,1
98,24.0,1,0,0,0,12.0,1,1
98,21.0,1,0,0,0,16.0,2,1
99,15.0,0,1,0,0,28.0,0,2
99,25.0,1,1,1,1,23.0,2,-6
99,18.0,1,1,0,0,10.0,1,2
99,23.0,0,1,0,0,25.0,0,2
100,28.0,1,1,1,1,31.0,2,-6
100,18.0,0,1,0,0,11.0,0,2
100,19.0,0,1,0,0,18.0,0,2
100,16.0,1,1,0,0,28.0,1,2
101,14.0,0,0,1,1,0,0,-18
101,21.0,0,0,0,0,24.0,0,6
101,26.0,2,0,0,0,39.0,3,6
101,21.0,1,0,0,0,21.0,0,6
102,25.0,0,0,0,0,25.0,0,2
102,23.0,1,0,1,1,38.0,1,-6
102,26.0,2,0,0,0,15.0,2,2
102,11.0,0,0,0,0,7.0,0,2
103,18.0,0,0,0,0,11.0,0,3
103,28.0,1,0,1,1,24.0,1,-9
103,20.0,1,0,0,0,24.0,0,3
103,19.0,1,0,0,0,24.0,2,3
104,13.0,0,0,0,0,4.0,0,-2
104,30.0,2,0,1,1,54.0,2,6
104,25.0,0,0,0,0,19.0,0,-2
104,19.0,1,0,0,0,11.0,1,-2
105,14.0,1,0,0,0,13.0,0,6
